timestamp,price,open,high,low,close,vol,trade_n
2024-02-27 14:22:00,2002.989990234375,2002.989990234375,2002.989990234375,2002.989990234375,0.0,0.0,0.0
2024-02-27 14:22:00,2002.989990234375,2002.989990234375,2002.989990234375,2002.989990234375,0.0,0.0,0.0
2024-02-27 13:50:00,2003.0,2003.0,2003.0,2003.0,0.0,0.0,0.0
2024-02-27 13:18:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
2024-02-27 13:18:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
2024-02-27 13:17:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
2024-02-27 13:16:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
2024-02-27 13:13:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
2024-02-27 13:13:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
2024-02-27 13:12:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
2024-02-27 13:13:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
2024-02-27 13:08:00,1999.18,1999.18,1999.18,1999.18,0.0,0.0,0.0
2024-02-27 13:08:00,1999.1800537109373,1999.1800537109373,1999.1800537109373,1999.1800537109373,0.0,0.0,0.0
2024-02-27 13:09:00,1999.1800537109373,1999.1800537109373,1999.1800537109373,1999.1800537109373,0.0,0.0,0.0
2024-02-27 13:10:00,1999.1800537109373,1999.1800537109373,1999.1800537109373,1999.1800537109373,0.0,0.0,0.0
2024-02-27 13:10:00,1999.5999755859373,1999.5999755859373,1997.0999755859373,1997.0999755859373,1998.010009765625,9.740323066711426,12.0
2024-02-27 13:11:00,1997.0999755859373,1997.0999755859373,1997.0999755859373,1997.0999755859373,0.0,0.0,0.0
2024-02-27 13:11:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.023494679480791,1.0
2024-02-27 13:12:00,2002.7099609375,2002.7099609375,2002.7099609375,2002.7099609375,0.0,0.0,0.0
